@relation 'drg_DRG194_set-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2,4,7-weka.filters.unsupervised.attribute.Remove-R1'

@attribute providerRegionDescription {RIDCASantaCruz,RIDCTHartford,RIDFLMiami,RIDFLOcala,RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDALMobile,RIDGARome,RIDFLPensacola,RIDFLOrlando,RIDMSTupelo,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZMesa,RIDAZSunCity,RIDNMAlbuquerque,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARFortSmith,RIDTNMemphis,RIDARJonesboro,RIDMOSpringfield,RIDARTexarkana,RIDCAAlamedaCounty,RIDCARedding,RIDCASanMateoCounty,RIDCASanFrancisco,RIDCANapa,RIDCASacramento,RIDCASanLuisObispo,RIDCALosAngeles,RIDCASanBernardino,RIDCASanDiego,RIDCAChico,RIDCABakersfield,RIDCASanJose,RIDCAFresno,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCASantaRosa,RIDCASantaBarbara,RIDCASalinas,RIDCAModesto,RIDCAContraCostaCounty,RIDCAPalmSprings/RanchoM,RIDORMedford,RIDCOGreeley,RIDCOBoulder,RIDCODenver,RIDCOGrandJunction,RIDCOColoradoSprings,RIDCOFortCollins,RIDCOPueblo,RIDCTNewHaven,RIDCTBridgeport,RIDDEWilmington,RIDMDSalisbury,RIDDCWashington,RIDFLJacksonville,RIDFLFortLauderdale,RIDFLFortMyers,RIDFLOrmondBeach,RIDFLPanamaCity,RIDFLSt.Petersburg,RIDFLBradenton,RIDFLClearwater,RIDFLTampa,RIDFLHudson,RIDFLSarasota,RIDFLGainesville,RIDFLTallahassee,RIDFLLakeland,RIDGAAtlanta,RIDGAMacon,RIDTNChattanooga,RIDGAAlbany,RIDGASavannah,RIDGAAugusta,RIDGAColumbus,RIDHIHonolulu,RIDIDBoise,RIDWASpokane,RIDIDIdahoFalls,RIDUTSaltLakeCity,RIDILPeoria,RIDMOSt.Louis,RIDILJoliet,RIDILMelrosePark,RIDILEvanston,RIDILRockford,RIDILSpringfield,RIDILChicago,RIDILAurora,RIDILElgin,RIDILBlueIsland,RIDWIMilwaukee,RIDILUrbana,RIDILHinsdale,RIDILBloomington,RIDINEvansville,RIDKYPaducah,RIDIADavenport,RIDINIndianapolis,RIDINGary,RIDINLafayette,RIDINMunster,RIDINSouthBend,RIDKYLouisville,RIDINFortWayne,RIDINTerreHaute,RIDOHCincinnati,RIDINMuncie,RIDIADesMoines,RIDIAIowaCity,RIDNEOmaha,RIDIAWaterloo,RIDIACedarRapids,RIDIAMasonCity,RIDIADubuque,RIDSDSiouxFalls,RIDIASiouxCity,RIDKSTopeka,RIDMOJoplin,RIDMOKansasCity,RIDKSWichita,RIDOKTulsa,RIDTXAmarillo,RIDKYCovington,RIDKYLexington,RIDTNNashville,RIDWVHuntington,RIDTNKnoxville,RIDKYOwensboro,RIDLAMetairie,RIDLALafayette,RIDLAHouma,RIDLAShreveport,RIDLAMonroe,RIDLALakeCharles,RIDLABatonRouge,RIDLAAlexandria,RIDLANewOrleans,RIDLASlidell,RIDMEBangor,RIDMEPortland,RIDMDBaltimore,RIDMDTakomaPark,RIDWVMorgantown,RIDMAWorcester,RIDMABoston,RIDRIProvidence,RIDMASpringfield,RIDNYAlbany,RIDMIAnnArbor,RIDMIGrandRapids,RIDMIMuskegon,RIDMIKalamazoo,RIDMIRoyalOak,RIDMIDearborn,RIDMISt.Joseph,RIDMIDetroit,RIDMIPontiac,RIDMILansing,RIDMISaginaw,RIDMIMarquette,RIDWIGreenBay,RIDMITraverseCity,RIDOHToledo,RIDMIPetoskey,RIDMIFlint,RIDMNMinneapolis,RIDMNDuluth,RIDMNRochester,RIDMNSt.Cloud,RIDMNSt.Paul,RIDWILaCrosse,RIDNDFargo/MoorheadMN,RIDNHLebanon,RIDMSJackson,RIDMSGulfport,RIDMSOxford,RIDMSMeridian,RIDMSHattiesburg,RIDMOColumbia,RIDMOCapeGirardeau,RIDMTBillings,RIDMTGreatFalls,RIDMTMissoula,RIDNELincoln,RIDNVReno,RIDNHManchester,RIDNJHackensack,RIDNJNewark,RIDPAPhiladelphia,RIDNJNewBrunswick,RIDNJCamden,RIDNJRidgewood,RIDNJMorristown,RIDNJPaterson,RIDPAAllentown,RIDTXElPaso,RIDTXLubbock,RIDNYEastLongIsland,RIDNYBuffalo,RIDNYWhitePlains,RIDNYRochester,RIDNYBronx,RIDNYBinghamton,RIDNYManhattan,RIDNYElmira,RIDVTBurlington,RIDNYSyracuse,RIDPAErie,RIDPASayre,RIDNCCharlotte,RIDNCAsheville,RIDNCWinstonSalem,RIDNCDurham,RIDNCRaleigh,RIDNCGreenville,RIDNCHickory,RIDTNJohnsonCity,RIDNCGreensboro,RIDNCWilmington,RIDOREugene,RIDVANorfolk,RIDNDBismarck,RIDNDMinot,RIDNDGrandForks,RIDOHColumbus,RIDOHDayton,RIDOHCanton,RIDOHAkron,RIDOHCleveland,RIDOHKettering,RIDOHYoungstown,RIDPAPittsburgh,RIDOHElyria,RIDOKOklahomaCity,RIDTXDallas,RIDOKLawton,RIDORPortland,RIDORBend,RIDORSalem,RIDPAScranton,RIDPADanville,RIDPAHarrisburg,RIDPAReading,RIDPAJohnstown,RIDPAYork,RIDPAAltoona,RIDPALancaster,RIDPAWilkesBarre,RIDSCCharleston,RIDSCFlorence,RIDSCSpartanburg,RIDSCGreenville,RIDSCColumbia,RIDSDRapidCity,RIDTNJackson,RIDTNKingsport,RIDTXBeaumont,RIDTXSanAntonio,RIDTXWichitaFalls,RIDTXBryan,RIDTXHouston,RIDTXVictoria,RIDTXHarlingen,RIDTXLongview,RIDTXFortWorth,RIDTXWaco,RIDTXCorpusChristi,RIDTXTemple,RIDTXAbilene,RIDTXAustin,RIDTXTyler,RIDTXMcAllen,RIDTXOdessa,RIDTXSanAngelo,RIDUTProvo,RIDUTOgden,RIDVACharlottesville,RIDVAWinchester,RIDWIMarshfield,RIDVARichmond,RIDVALynchburg,RIDVAArlington,RIDVARoanoke,RIDVANewportNews,RIDWASeattle,RIDWAEverett,RIDWAYakima,RIDWAOlympia,RIDWATacoma,RIDWVCharleston,RIDWIAppleton,RIDWIWausau,RIDWIMadison,RIDWINeenah,RIDWYCasper}
@attribute averageCoveredPayments {'\'(-inf-16988.408]\'','\'(16988.408-28884.216]\'','\'(28884.216-40780.024]\'','\'(40780.024-52675.832]\'','\'(52675.832-64571.64]\'','\'(64571.64-76467.448]\'','\'(76467.448-88363.256]\'','\'(88363.256-100259.064]\'','\'(100259.064-112154.872]\'','\'(112154.872-inf)\''}
@attribute averageTotalPayments {'\'(-inf-6573.001]\'','\'(6573.001-8426.802]\'','\'(8426.802-10280.603]\'','\'(10280.603-12134.404]\'','\'(12134.404-13988.205]\'','\'(13988.205-15842.006]\'','\'(15842.006-17695.807]\'','\'(17695.807-19549.608]\'','\'(19549.608-21403.409]\'','\'(21403.409-inf)\''}

@data
RIDALMontgomery,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLPensacola,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAKAnchorage,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDAKAnchorage,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDAKAnchorage,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDAKAnchorage,'\'(16988.408-28884.216]\'','\'(12134.404-13988.205]\''
RIDAKAnchorage,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDAKAnchorage,'\'(-inf-16988.408]\'','\'(10280.603-12134.404]\''
RIDAKAnchorage,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDAKAnchorage,'\'(16988.408-28884.216]\'','\'(12134.404-13988.205]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZTucson,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDAZPhoenix,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDAZPhoenix,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZMesa,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZSunCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDAZMesa,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNMAlbuquerque,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDAZPhoenix,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDAZPhoenix,'\'(-inf-16988.408]\'','\'(10280.603-12134.404]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNMAlbuquerque,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZMesa,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZSunCity,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDNVLasVegas,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(-inf-16988.408]\'','\'(8426.802-10280.603]\''
RIDAZTucson,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDNVLasVegas,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDAZMesa,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDAZMesa,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZMesa,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDAZMesa,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDAZPhoenix,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDAZMesa,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDAZPhoenix,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARSpringdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARSpringdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARSpringdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARFortSmith,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDARSpringdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARFortSmith,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARJonesboro,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARSpringdale,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMOSpringfield,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARJonesboro,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDARJonesboro,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARFortSmith,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARFortSmith,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDTNMemphis,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDARLittleRock,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDARTexarkana,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARJonesboro,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDARLittleRock,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDCAAlamedaCounty,'\'(52675.832-64571.64]\'','\'(10280.603-12134.404]\''
RIDCARedding,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanMateoCounty,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCASanFrancisco,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCANapa,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCANapa,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCASacramento,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanLuisObispo,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASacramento,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDCASanBernardino,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCASanDiego,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCASanDiego,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDCASanDiego,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCARedding,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCAChico,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCABakersfield,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanJose,'\'(28884.216-40780.024]\'','\'(12134.404-13988.205]\''
RIDCAChico,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(12134.404-13988.205]\''
RIDCAChico,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCAAlamedaCounty,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCASanDiego,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCASanFrancisco,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDCASanBernardino,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDCALosAngeles,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDCABakersfield,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCAFresno,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDCAOrangeCounty,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCASanDiego,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDCAVentura,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCAStockton,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanBernardino,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCASantaRosa,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCAFresno,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCASanBernardino,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanDiego,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCASanBernardino,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDCASantaBarbara,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASacramento,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCASantaBarbara,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanDiego,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDCAStockton,'\'(100259.064-112154.872]\'','\'(6573.001-8426.802]\''
RIDCAFresno,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCAStockton,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanJose,'\'(76467.448-88363.256]\'','\'(10280.603-12134.404]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCASacramento,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanDiego,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCASanBernardino,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDCASacramento,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDCASantaRosa,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanBernardino,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDCASalinas,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDCASacramento,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(64571.64-76467.448]\'','\'(10280.603-12134.404]\''
RIDCASanJose,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDCAVentura,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDCAStockton,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDCAOrangeCounty,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDCALosAngeles,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCASantaRosa,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCAModesto,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDCAContraCostaCounty,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDCASalinas,'\'(52675.832-64571.64]\'','\'(13988.205-15842.006]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCAFresno,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCASantaCruz,'\'(76467.448-88363.256]\'','\'(10280.603-12134.404]\''
RIDCAAlamedaCounty,'\'(88363.256-100259.064]\'','\'(8426.802-10280.603]\''
RIDCASanMateoCounty,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCAAlamedaCounty,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(8426.802-10280.603]\''
RIDCASanDiego,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDCAOrangeCounty,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCAChico,'\'(76467.448-88363.256]\'','\'(6573.001-8426.802]\''
RIDCAOrangeCounty,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanFrancisco,'\'(40780.024-52675.832]\'','\'(13988.205-15842.006]\''
RIDCAOrangeCounty,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDCALosAngeles,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCASanLuisObispo,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDCAVentura,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(76467.448-88363.256]\'','\'(10280.603-12134.404]\''
RIDCAPalmSprings/RanchoM,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDCASanBernardino,'\'(16988.408-28884.216]\'','\'(10280.603-12134.404]\''
RIDCASalinas,'\'(64571.64-76467.448]\'','\'(12134.404-13988.205]\''
RIDCASacramento,'\'(52675.832-64571.64]\'','\'(6573.001-8426.802]\''
RIDCABakersfield,'\'(16988.408-28884.216]\'','\'(8426.802-10280.603]\''
RIDCABakersfield,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(13988.205-15842.006]\''
RIDCASanBernardino,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCAContraCostaCounty,'\'(16988.408-28884.216]\'','\'(15842.006-17695.807]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(88363.256-100259.064]\'','\'(8426.802-10280.603]\''
RIDCAPalmSprings/RanchoM,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCARedding,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCALosAngeles,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCAAlamedaCounty,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCASanMateoCounty,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDCALosAngeles,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDCASantaRosa,'\'(28884.216-40780.024]\'','\'(10280.603-12134.404]\''
RIDCASanBernardino,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCABakersfield,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASanJose,'\'(40780.024-52675.832]\'','\'(8426.802-10280.603]\''
RIDCASanBernardino,'\'(52675.832-64571.64]\'','\'(10280.603-12134.404]\''
RIDCASanBernardino,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCANapa,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDCAAlamedaCounty,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDCASanJose,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
RIDCASacramento,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDCAStockton,'\'(40780.024-52675.832]\'','\'(6573.001-8426.802]\''
